Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Alberta (00048)   20000,  Male,      Kannada,-,-,-,-,-
Alberta (00048)   20000,  Male,      Malayalam,330,310,0,10,10
Alberta (00048)   20000,  Male,      Tamil,355,340,0,15,10
Alberta (00048)   20000,  Male,      Telugu,80,70,0,10,0
Alberta (00048)   20000,  Male,"      Dravidian languages, n.i.e.",70,75,0,0,0
Alberta (00048)   20000,  Male,    Japanese,1380,1285,0,15,80
Alberta (00048)   20000,  Male,    Korean,1480,1280,0,30,165
Alberta (00048)   20000,  Male,    Sino-Tibetan languages,30125,24485,10,520,5115
Alberta (00048)   20000,  Male,      Chinese,29880,24270,0,515,5090
Alberta (00048)   20000,  Male,"      Sino-Tibetan languages, n.i.e.",240,210,0,0,30
Alberta (00048)   20000,  Male,    Tai languages,440,355,0,25,65
Alberta (00048)   20000,  Male,      Lao,340,265,0,20,55
Alberta (00048)   20000,  Male,      Thai,95,85,0,10,10
Alberta (00048)   20000,  Male,    Austro-Asiatic languages,7860,6350,10,360,1135
Alberta (00048)   20000,  Male,      Khmer (Cambodian),920,640,0,40,235
Alberta (00048)   20000,  Male,      Vietnamese,6935,5700,10,320,905
Alberta (00048)   20000,  Male,"      Austro-Asiatic languages, n.i.e.",10,0,0,0,0
Alberta (00048)   20000,  Male,    Malayo-Polynesian languages,4225,4045,0,45,130
Alberta (00048)   20000,  Male,      Malay-Bahasa,145,135,0,0,10
Alberta (00048)   20000,  Male,      Tagalog (Pilipino),3595,3465,0,45,90
Alberta (00048)   20000,  Male,"      Malayo-Polynesian languages, n.i.e.",480,445,0,0,30
Alberta (00048)   20000,  Male,"    Asiatic languages, n.i.e.",20,25,0,0,0
Alberta (00048)   20000,  Male,    Niger-Congo languages,495,445,0,40,10
Alberta (00048)   20000,  Male,      Bantu languages,210,195,0,10,0
Alberta (00048)   20000,  Male,        Swahili,85,80,0,0,0
Alberta (00048)   20000,  Male,"        Bantu languages, n.i.e.",125,110,0,10,10
Alberta (00048)   20000,  Male,      Twi,-,-,-,-,-
Alberta (00048)   20000,  Male,"      Niger-Congo languages, n.i.e.",285,250,0,30,10
Alberta (00048)   20000,  Male,"    African languages, n.i.e.",115,110,0,0,0
Alberta (00048)   20000,  Male,    Creoles,60,50,0,0,0
Alberta (00048)   20000,  Male,    Other languages,240,175,0,10,50
Alberta (00048)   20000,  Male,Multiple responses,14805,12225,25,2375,170
Alberta (00048)   20000,  Male,  English and French,2625,830,20,1780,0
Alberta (00048)   20000,  Male,  English and non-official language,11820,11265,0,385,165
Alberta (00048)   20000,  Male,  French and non-official language,225,105,10,105,0
Alberta (00048)   20000,  Male,"  English, French and non-official language",135,30,0,105,0
