Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Canada (00000)   20000,  Male,    Indo-Iranian languages,156745,134730,620,9550,11850
Canada (00000)   20000,  Male,      Bengali,5020,4030,70,725,190
Canada (00000)   20000,  Male,      Gujarati,18530,16425,65,1090,950
Canada (00000)   20000,  Male,      Hindi,17235,15895,20,860,460
Canada (00000)   20000,  Male,      Konkani,-,-,-,-,-
Canada (00000)   20000,  Male,      Kurdish,765,635,15,35,75
Canada (00000)   20000,  Male,      Marathi,730,650,0,75,0
Canada (00000)   20000,  Male,      Pashto,620,520,10,20,70
Canada (00000)   20000,  Male,      Persian (Farsi),23395,18290,405,3075,1625
Canada (00000)   20000,  Male,      Punjabi,70085,60150,20,2055,7855
Canada (00000)   20000,  Male,      Sindhi,-,-,-,-,-
Canada (00000)   20000,  Male,      Sinhalese,1570,1455,0,80,35
Canada (00000)   20000,  Male,      Urdu,13160,11780,10,965,395
Canada (00000)   20000,  Male,"      Indo-Iranian languages, n.i.e.",5635,4895,0,565,175
Canada (00000)   20000,  Male,    Dravidian languages,21155,18515,110,1040,1490
Canada (00000)   20000,  Male,      Kannada,-,-,-,-,-
Canada (00000)   20000,  Male,      Malayalam,1955,1750,10,125,70
Canada (00000)   20000,  Male,      Tamil,18245,15920,100,810,1415
Canada (00000)   20000,  Male,      Telugu,465,435,0,30,0
Canada (00000)   20000,  Male,"      Dravidian languages, n.i.e.",490,410,0,70,0
Canada (00000)   20000,  Male,    Japanese,13650,11935,15,445,1255
Canada (00000)   20000,  Male,    Korean,17500,14680,90,795,1930
Canada (00000)   20000,  Male,    Sino-Tibetan languages,246910,194825,2370,9310,40410
Canada (00000)   20000,  Male,      Chinese,245505,193665,2365,9210,40255
Canada (00000)   20000,  Male,"      Sino-Tibetan languages, n.i.e.",1410,1155,0,100,150
Canada (00000)   20000,  Male,    Tai languages,7045,4225,1060,925,840
Canada (00000)   20000,  Male,      Lao,6105,3445,1040,875,740
Canada (00000)   20000,  Male,      Thai,945,780,15,50,90
Canada (00000)   20000,  Male,    Austro-Asiatic languages,49565,30630,4615,7435,6885
Canada (00000)   20000,  Male,      Khmer (Cambodian),7405,3505,1610,1030,1260
Canada (00000)   20000,  Male,      Vietnamese,41920,26910,3005,6395,5605
Canada (00000)   20000,  Male,"      Austro-Asiatic languages, n.i.e.",245,210,0,0,25
Canada (00000)   20000,  Male,    Malayo-Polynesian languages,42055,40200,25,1060,770
Canada (00000)   20000,  Male,      Malay-Bahasa,2090,1940,0,75,75
Canada (00000)   20000,  Male,      Tagalog (Pilipino),36795,35345,15,815,615
Canada (00000)   20000,  Male,"      Malayo-Polynesian languages, n.i.e.",3170,2910,10,165,85
Canada (00000)   20000,  Male,"    Asiatic languages, n.i.e.",145,130,0,0,10
Canada (00000)   20000,  Male,    Niger-Congo languages,8560,6660,455,1320,120
Canada (00000)   20000,  Male,      Bantu languages,2280,1560,220,460,35
Canada (00000)   20000,  Male,        Swahili,920,770,15,110,20
Canada (00000)   20000,  Male,"        Bantu languages, n.i.e.",1365,795,205,355,20
Canada (00000)   20000,  Male,      Twi,-,-,-,-,-
Canada (00000)   20000,  Male,"      Niger-Congo languages, n.i.e.",6275,5100,230,860,85
Canada (00000)   20000,  Male,"    African languages, n.i.e.",900,755,35,100,0
Canada (00000)   20000,  Male,    Creoles,12315,415,7020,4570,315
Canada (00000)   20000,  Male,    Other languages,3155,1990,110,300,765
Canada (00000)   20000,  Male,Multiple responses,153940,92785,6435,53315,1405
Canada (00000)   20000,  Male,  English and French,45265,5630,1635,37980,20
Canada (00000)   20000,  Male,  English and non-official language,94200,85830,105,7105,1160
Canada (00000)   20000,  Male,  French and non-official language,11455,940,4595,5730,190
Canada (00000)   20000,  Male,"  English, French and non-official language",3015,390,95,2500,35
Canada (00000)   20000,  Female,Total - Detailed Mother Tongue,13656370,9061280,2201760,2168390,224935
Canada (00000)   20000,  Female,Single responses,13503120,8971415,2194660,2113600,223440
Canada (00000)   20000,  Female,  English,8169020,7444120,3970,717410,3520
Canada (00000)   20000,  Female,  French,3322470,18315,2121465,1181930,750
Canada (00000)   20000,  Female,  Non-official languages,2011630,1508980,69225,214255,219165
Canada (00000)   20000,  Female,    Aboriginal languages,87510,69955,4680,1980,10895
Canada (00000)   20000,  Female,      Algonquian languages,60260,48075,4305,1590,6290
Canada (00000)   20000,  Female,        Algonquin,-,-,-,-,-
Canada (00000)   20000,  Female,        Attikamek,-,-,-,-,-
Canada (00000)   20000,  Female,        Blackfoot,1775,1755,0,10,10
Canada (00000)   20000,  Female,        Cree,37420,31045,1350,1125,3905
Canada (00000)   20000,  Female,        Malecite,80,80,0,0,0
Canada (00000)   20000,  Female,        Micmac,3020,2825,0,85,110
Canada (00000)   20000,  Female,        Montagnais-Naskapi,3770,395,2565,75,740
Canada (00000)   20000,  Female,        Ojibway,11295,10190,0,110,1005
Canada (00000)   20000,  Female,        Oji-Cree,-,-,-,-,-
Canada (00000)   20000,  Female,"        Algonquian languages, n.i.e.",2900,1790,390,195,525
Canada (00000)   20000,  Female,      Athapaskan languages,8850,7735,10,50,1050
Canada (00000)   20000,  Female,        Carrier,885,855,0,0,30
Canada (00000)   20000,  Female,        Chilcotin,415,390,0,0,25
Canada (00000)   20000,  Female,        Chipewyan,1105,1020,0,20,70
Canada (00000)   20000,  Female,        Dene,-,-,-,-,-
Canada (00000)   20000,  Female,        Dogrib,1050,865,0,0,180
Canada (00000)   20000,  Female,        Kutchin-Gwich'in (Loucheux),260,255,0,10,0
Canada (00000)   20000,  Female,        North Slave (Hare),25,20,0,0,0
Canada (00000)   20000,  Female,        South Slave,1650,1435,10,15,190
Canada (00000)   20000,  Female,"        Athapaskan languages, n.i.e.",3455,2890,0,10,555
Canada (00000)   20000,  Female,      Haida,50,45,0,0,0
Canada (00000)   20000,  Female,      Iroquoian languages,295,260,0,15,15
Canada (00000)   20000,  Female,        Mohawk,190,175,0,15,0
Canada (00000)   20000,  Female,"        Iroquoian languages, n.i.e.",100,90,0,10,0
Canada (00000)   20000,  Female,      Kutenai,75,70,0,0,0
Canada (00000)   20000,  Female,      Salish languages,1295,1275,0,15,10
Canada (00000)   20000,  Female,        Shuswap,-,-,-,-,-
Canada (00000)   20000,  Female,        Thompson (Ntlakapamux),-,-,-,-,-
Canada (00000)   20000,  Female,"        Salish languages, n.i.e.",1295,1275,0,15,0
Canada (00000)   20000,  Female,      Siouan languages,1770,1655,0,20,100
Canada (00000)   20000,  Female,        Dakota/Sioux,1770,1650,0,20,95
Canada (00000)   20000,  Female,      Tlingit,50,45,0,0,0
Canada (00000)   20000,  Female,      Tsimshian languages,165,165,0,0,0
Canada (00000)   20000,  Female,        Tsimshian,165,165,0,0,0
Canada (00000)   20000,  Female,        Gitksan,-,-,-,-,-
Canada (00000)   20000,  Female,        Nishga,-,-,-,-,-
Canada (00000)   20000,  Female,      Wakashan languages,1375,1355,0,10,10
Canada (00000)   20000,  Female,        Nootka,-,-,-,-,-
Canada (00000)   20000,  Female,"        Wakashan languages, n.i.e.",1375,1360,0,10,10
Canada (00000)   20000,  Female,      Inuktitut (Eskimo),11940,8025,300,200,3415
Canada (00000)   20000,  Female,"      Aboriginal languages, n.i.e.",1385,1240,60,75,10
Canada (00000)   20000,  Female,    Romance languages,452920,272205,31940,83580,65195
