Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Manitoba (00046)   20000,  Male,      Macedonian,10,0,0,0,0
Manitoba (00046)   20000,  Male,      Polish,5625,5015,0,250,355
Manitoba (00046)   20000,  Male,      Russian,395,375,0,20,0
Manitoba (00046)   20000,  Male,      Serbian,15,15,0,0,0
Manitoba (00046)   20000,  Male,      Serbo-Croatian,45,45,0,10,0
Manitoba (00046)   20000,  Male,      Slovak,355,345,0,10,0
Manitoba (00046)   20000,  Male,      Slovenian,165,170,0,0,0
Manitoba (00046)   20000,  Male,      Ukrainian,17315,16840,0,325,145
Manitoba (00046)   20000,  Male,"      Slavic languages, n.i.e.",480,455,0,10,15
Manitoba (00046)   20000,  Male,    Baltic languages,225,220,0,0,0
Manitoba (00046)   20000,  Male,      Latvian (Lettish),125,125,0,0,0
Manitoba (00046)   20000,  Male,      Lithuanian,100,95,0,0,0
Manitoba (00046)   20000,  Male,    Finno-Ugric languages,1505,1340,0,130,30
Manitoba (00046)   20000,  Male,      Estonian,65,45,0,20,0
Manitoba (00046)   20000,  Male,      Finnish,240,235,0,0,0
Manitoba (00046)   20000,  Male,      Hungarian,1205,1065,0,110,30
Manitoba (00046)   20000,  Male,    Greek,950,800,0,120,30
Manitoba (00046)   20000,  Male,    Armenian,40,40,0,0,0
Manitoba (00046)   20000,  Male,    Turkic languages,75,70,0,10,0
Manitoba (00046)   20000,  Male,      Turkish,75,75,0,0,0
Manitoba (00046)   20000,  Male,"      Turkic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,    Semitic languages,1005,880,0,110,15
Manitoba (00046)   20000,  Male,      Amharic,-,-,-,-,-
Manitoba (00046)   20000,  Male,      Arabic,360,275,0,85,0
Manitoba (00046)   20000,  Male,      Hebrew,140,140,0,0,0
Manitoba (00046)   20000,  Male,      Maltese,20,20,0,0,0
Manitoba (00046)   20000,  Male,      Somali,-,-,-,-,-
Manitoba (00046)   20000,  Male,      Tingringa,-,-,-,-,-
Manitoba (00046)   20000,  Male,"      Semitic languages, n.i.e.",480,445,0,20,10
Manitoba (00046)   20000,  Male,    Indo-Iranian languages,3125,2760,0,110,255
Manitoba (00046)   20000,  Male,      Bengali,70,60,0,0,10
Manitoba (00046)   20000,  Male,      Gujarati,280,255,0,25,0
Manitoba (00046)   20000,  Male,      Hindi,310,295,0,0,10
Manitoba (00046)   20000,  Male,      Konkani,-,-,-,-,-
Manitoba (00046)   20000,  Male,      Kurdish,50,30,0,0,20
Manitoba (00046)   20000,  Male,      Marathi,0,0,0,0,0
Manitoba (00046)   20000,  Male,      Pashto,0,0,0,0,0
Manitoba (00046)   20000,  Male,      Persian (Farsi),375,325,0,15,30
Manitoba (00046)   20000,  Male,      Punjabi,1590,1390,0,40,165
Manitoba (00046)   20000,  Male,      Sindhi,-,-,-,-,-
Manitoba (00046)   20000,  Male,      Sinhalese,100,100,0,0,0
Manitoba (00046)   20000,  Male,      Urdu,300,265,0,30,10
Manitoba (00046)   20000,  Male,"      Indo-Iranian languages, n.i.e.",35,40,0,0,0
Manitoba (00046)   20000,  Male,    Dravidian languages,285,275,0,10,10
Manitoba (00046)   20000,  Male,      Kannada,-,-,-,-,-
