GEO_NAME,GEO_CODE (POR),DIM: Sex (3),DIM: Mother tongue (269),Dim: Knowledge of official languages (5): Member ID: [1]: Total - Knowledge of official languages,Dim: Knowledge of official languages (5): Member ID: [2]: English only,Dim: Knowledge of official languages (5): Member ID: [3]: French only,Dim: Knowledge of official languages (5): Member ID: [4]: English and French,Dim: Knowledge of official languages (5): Member ID: [5]: Neither English nor French
Canada,1,Male,Blackfoot,1325,1315,0,10,5
Canada,1,Male,Cree-Montagnais languages,42920,32720,6265,2740,1195
Canada,1,Male,Atikamekw,3135,0,2720,175,240
Canada,1,Male,Montagnais (Innu),4885,725,3500,450,210
Canada,1,Male,Moose Cree,50,50,0,0,0
Canada,1,Male,Naskapi,590,480,10,65,40
Canada,1,Male,Northern East Cree,125,95,0,25,10
Canada,1,Male,Plains Cree,1360,1325,0,20,15
Canada,1,Male,Southern East Cree,20,15,0,5,0
Canada,1,Male,Swampy Cree,590,575,0,5,0
Canada,1,Male,Woods Cree,865,845,0,10,15
Canada,1,Male,"Cree, n.o.s.",31305,28625,35,1980,665
Canada,1,Male,Eastern Algonquian languages,3310,3165,5,130,15
Canada,1,Male,Malecite,140,135,0,0,0
Canada,1,Male,Mi'kmaq,3170,3025,0,125,20
Canada,1,Male,Ojibway-Potawatomi languages,15350,14580,240,325,210
Canada,1,Male,Algonquin,590,125,225,235,10
Canada,1,Male,Ojibway,8440,8265,5,80,90
Canada,1,Male,Oji-Cree,6260,6130,5,10,110
Canada,1,Male,Ottawa (Odawa),65,60,0,0,5
Canada,1,Male,"Algonquian languages, n.i.e.",25,20,0,5,0
Canada,1,Male,Athabaskan languages,8325,8090,5,55,170
Canada,1,Male,Northern Athabaskan languages,8305,8075,5,60,170
Canada,1,Male,Babine (Wetsuwet'en),55,55,0,0,0
Canada,1,Male,Beaver,90,90,0,0,0
Canada,1,Male,Carrier,460,460,0,5,0
Canada,1,Male,Chilcotin,295,295,0,0,0
Canada,1,Male,Dene,5185,5035,0,30,120
Canada,1,Male,Dogrib (Tlicho),835,810,0,0,25
Canada,1,Male,Gwich'in,110,105,0,5,5
Canada,1,Male,Sarsi (Sarcee),30,25,0,0,0
Canada,1,Male,Sekani,45,45,0,5,0
Canada,1,Male,Slavey-Hare languages,950,905,0,20,25
Canada,1,Male,North Slavey (Hare),365,350,0,5,10
Canada,1,Male,South Slavey,455,440,0,5,10
Canada,1,Male,"Slavey, n.o.s.",130,115,5,5,0
Canada,1,Male,Tahltan languages,135,135,0,0,0
Canada,1,Male,Kaska (Nahani),90,85,0,0,0
Canada,1,Male,Tahltan,40,45,0,0,0
Canada,1,Male,Tutchone languages,120,120,0,0,0
Canada,1,Male,Northern Tutchone,90,90,0,0,0
Canada,1,Male,Southern Tutchone,30,35,0,0,0
Canada,1,Male,"Athabaskan languages, n.i.e.",15,15,0,0,0
Canada,1,Male,Haida,35,35,0,5,0
Canada,1,Male,Inuit languages,18100,14655,200,1260,1990
Canada,1,Male,Inuinnaqtun (Inuvialuktun),445,435,0,5,5
Canada,1,Male,Inuktitut,17535,14115,195,1240,1980
Canada,1,Male,"Inuit languages, n.i.e.",125,105,5,10,5
Canada,1,Male,Iroquoian languages,485,425,10,45,5
Canada,1,Male,Cayuga,20,20,0,0,0
Canada,1,Male,Mohawk,430,375,10,40,5
Canada,1,Male,Oneida,15,15,0,0,0
Canada,1,Male,"Iroquoian languages, n.i.e.",15,5,0,5,0
Canada,1,Male,Kutenai,55,50,0,0,5
