Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
New Brunswick,13,Male,"Pampangan (Kapampangan, Pampango)",0,0,0,0,0
New Brunswick,13,Male,Pangasinan,0,0,0,0,0
New Brunswick,13,Male,"Tagalog (Pilipino, Filipino)",420,400,0,10,5
New Brunswick,13,Male,Waray-Waray,0,0,0,0,0
New Brunswick,13,Male,"Austronesian languages, n.i.e.",5,5,0,0,0
New Brunswick,13,Male,Creole languages,70,30,5,30,0
New Brunswick,13,Male,Haitian Creole,5,5,5,5,0
New Brunswick,13,Male,"Creole, n.o.s.",30,0,0,25,0
New Brunswick,13,Male,"Creole languages, n.i.e.",30,30,0,0,0
New Brunswick,13,Male,Dravidian languages,155,145,0,10,0
New Brunswick,13,Male,Kannada,10,10,0,0,0
New Brunswick,13,Male,Malayalam,20,15,0,5,0
New Brunswick,13,Male,Tamil,60,55,0,0,0
New Brunswick,13,Male,Telugu,65,65,0,0,0
New Brunswick,13,Male,"Dravidian languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Hmong-Mien languages,0,5,0,0,0
New Brunswick,13,Male,Indo-European languages,4795,3730,40,785,235
