Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Nova Scotia,12,Male,Total - Mother tongue,442470,398950,305,41925,1295
Nova Scotia,12,Male,Single responses,438550,396655,295,40320,1280
Nova Scotia,12,Male,Official languages,416245,377200,270,38710,60
Nova Scotia,12,Male,English,401980,376495,5,25415,65
Nova Scotia,12,Male,French,14265,700,270,13295,0
Nova Scotia,12,Male,Non-official languages,22305,19460,20,1615,1215
Nova Scotia,12,Male,Aboriginal languages,2020,1975,0,35,10
Nova Scotia,12,Male,Algonquian languages,1985,1945,0,30,15
Nova Scotia,12,Male,Blackfoot,0,0,0,0,0
Nova Scotia,12,Male,Cree-Montagnais languages,10,10,0,0,0
Nova Scotia,12,Male,Atikamekw,0,0,0,0,0
Nova Scotia,12,Male,Montagnais (Innu),0,0,0,0,0
Nova Scotia,12,Male,Moose Cree,0,0,0,0,0
Nova Scotia,12,Male,Naskapi,0,0,0,0,0
Nova Scotia,12,Male,Northern East Cree,0,0,0,0,0
Nova Scotia,12,Male,Plains Cree,0,0,0,0,0
Nova Scotia,12,Male,Southern East Cree,0,0,0,0,0
Nova Scotia,12,Male,Swampy Cree,5,5,0,0,0
Nova Scotia,12,Male,Woods Cree,0,0,0,0,0
Nova Scotia,12,Male,"Cree, n.o.s.",5,5,0,0,0
Nova Scotia,12,Male,Eastern Algonquian languages,1975,1935,0,30,15
Nova Scotia,12,Male,Malecite,0,5,0,0,0
Nova Scotia,12,Male,Mi'kmaq,1970,1930,0,30,10
Nova Scotia,12,Male,Ojibway-Potawatomi languages,0,5,0,0,0
Nova Scotia,12,Male,Algonquin,0,0,0,0,0
Nova Scotia,12,Male,Ojibway,5,5,0,0,0
Nova Scotia,12,Male,Oji-Cree,0,0,0,0,0
Nova Scotia,12,Male,Ottawa (Odawa),0,0,0,0,0
Nova Scotia,12,Male,"Algonquian languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,Athabaskan languages,0,0,0,0,0
Nova Scotia,12,Male,Northern Athabaskan languages,5,5,0,0,0
Nova Scotia,12,Male,Babine (Wetsuwet'en),0,0,0,0,0
Nova Scotia,12,Male,Beaver,0,0,0,0,0
Nova Scotia,12,Male,Carrier,0,0,0,0,0
Nova Scotia,12,Male,Chilcotin,0,0,0,0,0
Nova Scotia,12,Male,Dene,0,5,0,0,0
Nova Scotia,12,Male,Dogrib (Tlicho),0,0,0,0,0
Nova Scotia,12,Male,Gwich'in,0,0,0,0,0
Nova Scotia,12,Male,Sarsi (Sarcee),0,0,0,0,0
Nova Scotia,12,Male,Sekani,0,0,0,0,0
Nova Scotia,12,Male,Slavey-Hare languages,0,0,0,0,0
Nova Scotia,12,Male,North Slavey (Hare),0,0,0,0,0
Nova Scotia,12,Male,South Slavey,0,0,0,0,0
Nova Scotia,12,Male,"Slavey, n.o.s.",0,0,0,0,0
Nova Scotia,12,Male,Tahltan languages,0,0,0,0,0
Nova Scotia,12,Male,Kaska (Nahani),0,0,0,0,0
Nova Scotia,12,Male,Tahltan,0,0,0,0,0
Nova Scotia,12,Male,Tutchone languages,0,0,0,0,0
Nova Scotia,12,Male,Northern Tutchone,0,0,0,0,0
Nova Scotia,12,Male,Southern Tutchone,0,0,0,0,0
Nova Scotia,12,Male,"Athabaskan languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,Haida,0,0,0,0,0
Nova Scotia,12,Male,Inuit languages,30,25,0,5,0
Nova Scotia,12,Male,Inuinnaqtun (Inuvialuktun),0,0,0,0,0
Nova Scotia,12,Male,Inuktitut,30,20,0,5,0
Nova Scotia,12,Male,"Inuit languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,Iroquoian languages,0,0,0,0,0
Nova Scotia,12,Male,Cayuga,0,0,0,0,0
Nova Scotia,12,Male,Mohawk,0,0,0,0,0
Nova Scotia,12,Male,Oneida,0,0,0,0,0
Nova Scotia,12,Male,"Iroquoian languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,Kutenai,0,0,0,0,0
Nova Scotia,12,Male,Michif,0,0,0,0,0
Nova Scotia,12,Male,Salish languages,0,0,0,0,0
Nova Scotia,12,Male,Comox,0,0,0,0,0
Nova Scotia,12,Male,Halkomelem,0,0,0,0,0
Nova Scotia,12,Male,Lillooet,0,0,0,0,0
Nova Scotia,12,Male,Okanagan,0,0,0,0,0
Nova Scotia,12,Male,Shuswap (Secwepemctsin),0,0,0,0,0
Nova Scotia,12,Male,Squamish,0,0,0,0,0
Nova Scotia,12,Male,Straits,0,0,0,0,0
Nova Scotia,12,Male,Thompson (Ntlakapamux),0,0,0,0,0
Nova Scotia,12,Male,"Salish languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,Siouan languages,0,0,0,0,0
Nova Scotia,12,Male,Dakota,0,0,0,0,0
Nova Scotia,12,Male,Stoney,0,0,0,0,0
Nova Scotia,12,Male,"Siouan languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,Tlingit,0,0,0,0,0
Nova Scotia,12,Male,Tsimshian languages,0,0,0,0,0
Nova Scotia,12,Male,Gitxsan (Gitksan),0,0,0,0,0
Nova Scotia,12,Male,Nisga'a,0,0,0,0,0
Nova Scotia,12,Male,Tsimshian,0,0,0,0,0
Nova Scotia,12,Male,Wakashan languages,0,0,0,0,0
Nova Scotia,12,Male,Haisla,0,0,0,0,0
Nova Scotia,12,Male,Heiltsuk,0,0,0,0,0
Nova Scotia,12,Male,Kwakiutl (Kwak'wala),0,0,0,0,0
Nova Scotia,12,Male,Nuu-chah-nulth (Nootka),0,0,0,0,0
Nova Scotia,12,Male,"Wakashan languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,"Aboriginal languages, n.o.s.",0,0,0,0,0
Nova Scotia,12,Male,Non-Aboriginal languages,20290,17480,20,1580,1200
Nova Scotia,12,Male,Afro-Asiatic languages,4280,3325,10,410,530
Nova Scotia,12,Male,Berber languages,10,5,0,5,0
Nova Scotia,12,Male,Kabyle,0,0,0,0,0
Nova Scotia,12,Male,"Berber languages, n.i.e.",5,0,0,0,0
Nova Scotia,12,Male,Cushitic languages,65,50,0,5,10
Nova Scotia,12,Male,Bilen,0,5,0,0,0
Nova Scotia,12,Male,Oromo,35,30,0,5,0
Nova Scotia,12,Male,Somali,20,20,0,0,0
Nova Scotia,12,Male,"Cushitic languages, n.i.e.",10,0,0,0,10
Nova Scotia,12,Male,Semitic languages,4205,3275,5,400,520
Nova Scotia,12,Male,Amharic,55,50,0,0,0
Nova Scotia,12,Male,Arabic,3950,3050,5,395,500
Nova Scotia,12,Male,Assyrian Neo-Aramaic,5,5,0,0,0
Nova Scotia,12,Male,Chaldean Neo-Aramaic,0,0,0,0,0
Nova Scotia,12,Male,Harari,0,0,0,0,0
Nova Scotia,12,Male,Hebrew,120,105,0,5,5
Nova Scotia,12,Male,Maltese,15,10,0,5,0
Nova Scotia,12,Male,Tigrigna,65,50,5,5,15
Nova Scotia,12,Male,"Semitic languages, n.i.e.",5,5,0,0,0
Nova Scotia,12,Male,"Afro-Asiatic languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Male,Austro-Asiatic languages,240,205,0,20,15
Nova Scotia,12,Male,Khmer (Cambodian),5,5,0,0,0
Nova Scotia,12,Male,Vietnamese,240,200,0,20,15
Nova Scotia,12,Male,"Austro-Asiatic languages, n.i.e",0,0,0,0,0
Nova Scotia,12,Male,Austronesian languages,945,925,0,10,5
Nova Scotia,12,Male,Bikol,0,5,0,0,0
Nova Scotia,12,Male,Cebuano,60,55,0,0,0
Nova Scotia,12,Male,Fijian,0,0,0,0,0
Nova Scotia,12,Male,Hiligaynon,10,10,0,0,0
Nova Scotia,12,Male,Ilocano,15,15,0,0,0
Nova Scotia,12,Male,Malagasy,5,0,0,0,0
Nova Scotia,12,Male,Malay,20,20,0,0,0
Nova Scotia,12,Male,"Pampangan (Kapampangan, Pampango)",10,5,0,0,0
Nova Scotia,12,Male,Pangasinan,0,0,0,0,0
Nova Scotia,12,Male,"Tagalog (Pilipino, Filipino)",810,805,0,10,0
Nova Scotia,12,Male,Waray-Waray,0,0,0,0,0
